Agoniya (Opium Remix)(theta) x1.1,18,17.6,-0.3999999999999986,0.3999999999999986,speed,high stream
Intersect Thunderbolt-Remix,17.2,17,-0.1999999999999993,0.1999999999999993,speed,mid stream
Kizuato(efv3) x1.3,16.2,16.4,0.1999999999999993,0.1999999999999993,speed,staircase
HIBACHI,16,15.6,-0.40000000000000036,0.40000000000000036,speed,high stream
Credens Justitiam(haku) x1.1,16,15.6,-0.40000000000000036,0.40000000000000036,speed,mid stream
Finixe(zeta) x1.1,15.4,16.4,0.9999999999999982,0.9999999999999982,speed,low stream
Mario Point[D-Another],15,15.4,0.40000000000000036,0.40000000000000036,speed,low stream
Shuuten,15,15.4,0.40000000000000036,0.40000000000000036,speed,high stream
Kimi to bokueno sousouka,14.8,15.4,0.5999999999999996,0.5999999999999996,speed,
Paradigm Shift(e8v2) x1.15,14.7,14.6,-0.09999999999999964,0.09999999999999964,speed,low stream
Amatsukami x1.15,14.6,14.6,0,0,speed,high stream
Lalala.Refrain(sp7v2) x1.1,14.6,15,0.40000000000000036,0.40000000000000036,speed,mid stream
Tactical Railroad(ATTang),14.6,13.6,-1,1,speed,high stream
Stay Alive (Zekk Remix) x1.25,14.5,14.6,0.09999999999999964,0.09999999999999964,speed,mid stream
Paraclete -Miracle,14.5,14.6,0.09999999999999964,0.09999999999999964,speed,low stream
Pine Nut,14.4,14.4,0,0,speed,high stream
Volcanic(delta),14,13.6,-0.40000000000000036,0.40000000000000036,speed,high stream
Ascension to heaven(sp6v2) x0.975,13.8,14,0.1999999999999993,0.1999999999999993,speed,
Nopea,13.6,13.4,-0.1999999999999993,0.1999999999999993,speed,mid stream
Pastel Subliminal,13.5,13.4,-0.09999999999999964,0.09999999999999964,speed,
Electric Angel(e5v3) x1.2,13.4,13,-0.40000000000000036,0.40000000000000036,speed,high stream
Angel Dust(tachyon),13.4,12.6,-0.8000000000000007,0.8000000000000007,speed,high stream
Reflec Streamz(gamma),13,13.4,0.40000000000000036,0.40000000000000036,speed,low stream
Sonesaki Shinju(sp5v2) x0.925,12.7,12.6,-0.09999999999999964,0.09999999999999964,speed,
Crystal World -Fracture-,12.5,12.6,0.09999999999999964,0.09999999999999964,speed,
Pure Ruby,12.4,12,-0.40000000000000036,0.40000000000000036,speed,
Odin(fullerene),12.4,11.6,-0.8000000000000007,0.8000000000000007,speed,high stream
Mario Point[D-Hyper],12.4,11,-1.4000000000000004,1.4000000000000004,speed,low stream
YELL!(e4v2),12.2,11.6,-0.5999999999999996,0.5999999999999996,speed,
Amber Starlight(beta),12,11.4,-0.5999999999999996,0.5999999999999996,speed,low stream
Akasha(sp3v2) x0.88,11.7,10.6,-1.0999999999999996,1.0999999999999996,speed,
End Time(e3v2) x1.1,11.5,11,-0.5,0.5,speed,
Enthanasia x1.05,11.2,11.4,0.20000000000000107,0.20000000000000107,speed,
Makiba(alpha),11,11,0,0,speed,low stream
P8107 x0.95,10.8,11.6,0.7999999999999989,0.7999999999999989,speed,low stream
Message(e2v2),10.7,10.6,-0.09999999999999964,0.09999999999999964,speed,low stream
Shin Takarajim(sp2v2),10.5,10.6,0.09999999999999964,0.09999999999999964,speed,
Torikago,10.4,10.4,0,0,speed,mid stream
Eiya no Parade x1.05,10.3,9.4,-0.9000000000000004,0.9000000000000004,speed,low stream
Dope Monkeys x1.02,10.1,9,-1.0999999999999996,1.0999999999999996,speed,low stream
Oh Curry! x0.9,10,8,-2,2,speed,staircase
Disconnected Trance(9),9,7.2,-1.7999999999999998,1.7999999999999998,speed,low stream
Trickstarz,8,7.4,-0.5999999999999996,0.5999999999999996,speed,staircase
Five Five Five Guys,6.6,6,-0.5999999999999996,0.5999999999999996,speed,low stream
Luv Lab 22ate!,6,6.2,0.20000000000000018,0.20000000000000018,speed,mid stream
SOS,6,5.2,-0.7999999999999998,0.7999999999999998,speed,mid stream
Palette GAMMA[Abstract],5,5,0,0,speed,low stream
TDPDG,5,4.8,-0.20000000000000018,0.20000000000000018,speed,low stream
Entelechia,3,3,0,0,speed,mid stream
Snow Storm,2,1.6,-0.3999999999999999,0.3999999999999999,speed,
Shelter,1,0.8,-0.19999999999999996,0.19999999999999996,speed,
