Rip Me Apart(theta) x1.075,17.8,18.4,0.5999999999999979,0.5999999999999979,jack,dense chordjack,,,,,,,,,,,,,,,,,,,
Torment Payback,17.2,17.4,0.1999999999999993,0.1999999999999993,jack,high chordjack,,,,,,,,,,,,,,,,,,,
Angel Dust (2016 Radio Mix)(zeta),16.6,15.6,-1.0000000000000018,1.0000000000000018,jack,anchor chordjack,,,,,,,,,,,,,,,,,,,
Angel Dust (2016 Radio Mix)(zeta old),16.4,17,0.6000000000000014,0.6000000000000014,jack,high chordjack,,,,,,,,,,,,,,,,,,,
Double Universe x1.2,16,14.4,-1.5999999999999996,1.5999999999999996,jack,mid chordjack,,,,,,,,,,,,,,,,,,,
Infinity Heaven(180bpm),16,14.4,-1.5999999999999996,1.5999999999999996,jack,high chordjack,,,,,,,,,,,,,,,,,,,
Vertex Beta(spz cut),15.6,14.6,-1,1,jack,mid chordjack,,,,,,,,,,,,,,,,,,,
crazy_tek (DJ Noriken Remix)(e9v3),15,15,0,0,jack,high chordjack,,,,,,,,,,,,,,,,,,,
Rose Quartz(epsilon) x1.3,15,14.6,-0.40000000000000036,0.40000000000000036,jack,high chordjack,,,,,,,,,,,,,,,,,,,
Hayabusa(e8v3),14.6,14.6,0,0,jack,high chordjack,,,,,,,,,,,,,,,,,,,
LiFE Garden(e7v3) x1.05,14.4,14.4,0,0,jack,high chordjack,,,,,,,,,,,,,,,,,,,
STRONG 280(isxi),14,14,0,0,jack,dense chordjack,,,,,,,,,,,,,,,,,,,
Aquaris(snover) x1.3,14,13.6,-0.40000000000000036,0.40000000000000036,jack,low chordjack,,,,,,,,,,,,,,,,,,,
Defeat awaken battle ship,13.4,12.6,-0.8000000000000007,0.8000000000000007,jack,high chordjack,,,,,,,,,,,,,,,,,,,
Break(loved) x1.1,13,13.4,0.40000000000000036,0.40000000000000036,jack,high chordjack,,,,,,,,,,,,,,,,,,,
Sendan Life(OpakyL),13,12.4,-0.5999999999999996,0.5999999999999996,jack,dense chordjack,,,,,,,,,,,,,,,,,,,
The Truth Never Spoken,12.6,12.4,-0.1999999999999993,0.1999999999999993,jack,mid chordjack,,,,,,,,,,,,,,,,,,,
Bring Our Ignition Back x1.1,12.6,12,-0.5999999999999996,0.5999999999999996,jack,mid chordjack,,,,,,,,,,,,,,,,,,,
ZENITHALIZE,12.4,12.4,0,0,jack,high chordjack,,,,,,,,,,,,,,,,,,,
Paradigm Shift(beta),12,12,0,0,jack,high chordjack,,,,,,,,,,,,,,,,,,,
Edison(e3v3) x1.15,12,11.6,-0.40000000000000036,0.40000000000000036,jack,mid chordjack,,,,,,,,,,,,,,,,,,,
Dark Sambaland,11,11,0,0,jack,high chordjack,,,,,,,,,,,,,,,,,,,
Moment x1.05,10.6,10.6,0,0,jack,high chordjack,,,,,,,,,,,,,,,,,,,
The Lost Dedicated(loved),10.4,11,0.5999999999999996,0.5999999999999996,jack,high chordjack,,,,,,,,,,,,,,,,,,,
The Lost Dedicated(10),10,11,1,1,jack,high chordjack,,,,,,,,,,,,,,,,,,,
Scorpion Dance,9,9,0,0,jack,high chordjack,,,,,,,,,,,,,,,,,,,
Can't Take my Eyes,9,7.6,-1.4000000000000004,1.4000000000000004,jack,low chordjack,,,,,,,,,,,,,,,,,,,
To The Limit(8),8,7.4,-0.5999999999999996,0.5999999999999996,jack,high chordjack,,,,,,,,,,,,,,,,,,,
Last Chance,7,5.2,-1.7999999999999998,1.7999999999999998,jack,,,,,,,,,,,,,,,,,,,,
Sweet Cherry X,6,4.8,-1.2000000000000002,1.2000000000000002,jack,,,,,,,,,,,,,,,,,,,,
Energy Flower 3007,5,3.2,-1.7999999999999998,1.7999999999999998,jack,,,,,,,,,,,,,,,,,,,,
CrossOver,4,1.2,-2.8,2.8,jack,,,,,,,,,,,,,,,,,,,,
Dimension Trippere!!!!,3,1.8,-1.2,1.2,jack,,,,,,,,,,,,,,,,,,,,
Flashes,2,2.8,0.7999999999999998,0.7999999999999998,jack,,,,,,,,,,,,,,,,,,,,
Miracle Chance,1,-1,-2,2,jack,,,,,,,,,,,,,,,,,,,,
